Name,Address,Grades,Latitude,Longitude 
New Market Pizza & Grill,"'850 Massachusetts Ave.,Boston,MA,USA'",'A; B; C',42.332079,-71.07102
Crispy Dough Pizzeria,"'1512 Tremont St.,Boston,MA,USA'",'A; B; C',42.3321315,-71.0995917
Lilly Gourmet Pasta Express,"'1526 Tremont St.,Boston,MA,USA'",'A; B; C',42.3323338,-71.0999691
J's Cafe @Bos. W & S,"'980 Harrison Ave.,Boston,MA,USA'",'A; B; C',42.3323543,-71.0777303
Alfredo's Italian Kitchen,"'243 Dorchester St.,Boston,MA,USA'",'A; B; C',42.3328298,-71.0513318
New England Center For Arts & Technology,"'23 Bradston St.,Boston,MA,USA'",'A; B; C',42.3331375,-71.0706074
Subway,"'1578 Tremont St.,Boston,MA,USA'",'A; B; C',42.3332519,-71.1025319
Zc Boston,"'797 Massachusetts Ave.,Boston,MA,USA'",'A; B; C',42.3333302,-71.0732524
Local 149,"'143 P St.,Boston,MA,USA'",'A; B; C',42.3333774,-71.0273045
Tremont House Of Pizza,"'1586 Tremont St.,Boston,MA,USA'",'A; B; C',42.3334073,-71.1030792
Tgi Fridays,"'1620 Tremont St.,Boston,MA,USA'",'A; B; C',42.3334914,-71.1040956
Green T Coffee Shop,"'754 Huntington Ave.,Boston,MA,USA'",'A; B; C',42.3334927,-71.1056987
Flames Restaurant,"'746 Huntington Ave.,Boston,MA,USA'",'A; B; C',42.3335859,-71.10551
Montecristo Mexican Grill,"'746 Huntington Ave.,Boston,MA,USA'",'A; B; C',42.3335859,-71.10551
Brigham Circle Chinese Food,"'728 Huntington Ave.,Boston,MA,USA'",'A; B; C',42.333779,-71.10516
Mission Sushi & Wok,"'1625 Tremont St.,Boston,MA,USA'",'A; B; C',42.333933,-71.103529
Cafe Mamtaz,"'87 L Street St.,Boston,MA,USA'",'A; B; C',42.334291,-71.0354814
New China Restaurant,"'869 Harrison Ave.,Boston,MA,USA'",'A; B; C',42.334356,-71.0762039
